customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
38,Female,0,1,1,51,1,1,Fiber optic,One year,1,Electronic check,90.15,4554.85,0
39,Male,0,0,0,3,0,0,DSL,Month-to-month,1,Electronic check,29.75,96.85,0
40,Female,0,0,0,13,1,1,Fiber optic,Month-to-month,1,Electronic check,96.65,1244.5,1
41,Female,0,1,1,39,1,1,No,One year,1,Mailed check,24.2,914.6,0
42,Female,0,1,1,72,1,1,DSL,Two year,0,Credit card (automatic),66.75,4760.3,0
43,Female,0,0,0,13,1,0,Fiber optic,Month-to-month,1,Mailed check,81.9,1028.9,0
44,Female,0,0,0,1,1,0,Fiber optic,Month-to-month,0,Electronic check,84.3,84.3,1
45,Male,0,0,0,26,1,0,No,One year,1,Credit card (automatic),20.65,595.5,0
46,Female,0,0,0,30,1,0,DSL,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0
47,Male,0,0,0,10,1,0,DSL,Month-to-month,0,Bank transfer (automatic),62.25,612.95,0
48,Male,0,1,0,12,1,0,Fiber optic,Month-to-month,1,Electronic check,84.6,959.9,0
49,Female,0,0,0,52,1,1,DSL,Two year,1,Bank transfer (automatic),80.95,4233.95,0
50,Male,0,1,0,71,1,0,DSL,Two year,1,Electronic check,82.55,5832.65,0
51,Male,0,0,0,7,1,0,Fiber optic,Month-to-month,1,Electronic check,69.55,521.35,0
52,Male,0,0,1,19,0,0,DSL,Month-to-month,1,Credit card (automatic),25.35,566.1,0
53,Male,0,0,0,1,0,0,DSL,Month-to-month,1,Electronic check,24.4,24.4,0
54,Female,0,1,1,72,1,0,DSL,Two year,0,Credit card (automatic),68.75,4888.2,0
55,Male,1,0,0,13,1,0,Fiber optic,Month-to-month,1,Electronic check,90.5,1201.15,1
56,Female,0,0,1,9,1,0,DSL,Month-to-month,1,Credit card (automatic),69.4,571.45,0
57,Male,0,0,0,8,0,0,DSL,Month-to-month,1,Electronic check,30.45,226.45,1
58,Female,0,0,0,16,1,0,Fiber optic,Month-to-month,1,Electronic check,86.25,1340.1,0
59,Female,0,1,0,3,1,0,No,Month-to-month,0,Mailed check,20.85,72,0
60,Male,0,0,0,7,0,0,DSL,One year,1,Credit card (automatic),24.35,150.85,0
61,Male,0,0,1,3,1,0,DSL,Month-to-month,1,Credit card (automatic),54.7,169.45,1
62,Female,0,0,0,46,1,1,DSL,Two year,0,Mailed check,79.2,3593.8,0
63,Female,0,1,1,65,1,1,Fiber optic,Two year,1,Credit card (automatic),110.8,7245.9,0
64,Male,1,1,0,36,1,1,Fiber optic,Month-to-month,1,Electronic check,96.5,3436.1,1
65,Female,0,0,0,16,1,0,No,One year,0,Mailed check,20.1,296.15,0
66,Female,1,0,0,2,1,1,Fiber optic,Month-to-month,1,Electronic check,78.55,149.55,1
67,Male,0,0,0,20,1,1,Fiber optic,Month-to-month,1,Electronic check,88.7,1761.45,1
68,Female,0,1,1,64,1,1,Fiber optic,One year,1,Electronic check,92.85,5980.75,0
69,Female,0,1,1,72,1,1,Fiber optic,Two year,0,Credit card (automatic),117.5,8670.1,0
70,Female,0,1,0,10,1,0,No,Month-to-month,1,Bank transfer (automatic),19.95,187.75,0
71,Male,1,0,0,12,0,0,DSL,Month-to-month,1,Electronic check,43.65,526.95,1
72,Male,0,0,0,1,1,0,DSL,Month-to-month,1,Mailed check,50.75,50.75,0
73,Female,0,0,0,54,1,1,Fiber optic,Month-to-month,1,Electronic check,100.1,5440.9,1
74,Male,0,1,0,49,1,1,Fiber optic,Month-to-month,1,Bank transfer (automatic),99.05,4853.75,1
75,Female,0,1,1,16,1,1,Fiber optic,Month-to-month,1,Electronic check,112.95,1882.55,0
76,Male,1,0,0,39,1,1,Fiber optic,Month-to-month,0,Electronic check,90.7,3413.25,0
77,Female,0,0,0,2,1,0,DSL,Month-to-month,1,Mailed check,45.25,74.2,0
78,Male,0,0,0,1,1,0,No,Month-to-month,1,Mailed check,19.75,19.75,0
79,Female,0,1,1,72,1,1,No,Two year,0,Bank transfer (automatic),25.1,1857.85,0
80,Male,0,1,1,59,1,1,Fiber optic,Two year,1,Mailed check,111.1,6555.2,0
81,Male,0,0,0,31,1,0,Fiber optic,Two year,0,Bank transfer (automatic),99.45,3109.9,0
82,Female,0,0,1,26,0,0,DSL,Month-to-month,1,Mailed check,29.8,786.5,0
83,Female,0,1,0,35,1,0,DSL,One year,1,Bank transfer (automatic),62.15,2215.45,0
84,Male,0,0,0,2,1,0,DSL,Month-to-month,0,Mailed check,44.65,74.9,1
85,Female,0,0,0,1,1,0,Fiber optic,Month-to-month,1,Electronic check,70.25,70.25,1
86,Male,0,1,0,2,1,0,DSL,Month-to-month,1,Mailed check,64.2,143.65,0
87,Female,0,1,0,18,1,0,DSL,Month-to-month,1,Mailed check,50.3,908.75,0
88,Male,0,0,1,1,1,1,Fiber optic,Month-to-month,1,Electronic check,74.35,74.35,1
89,Male,0,1,1,40,0,0,DSL,One year,0,Mailed check,60.3,2448.5,0
90,Female,0,0,0,28,1,0,DSL,Month-to-month,1,Bank transfer (automatic),59.55,1646.45,0
91,Male,0,0,0,72,0,0,DSL,Two year,1,Bank transfer (automatic),65.55,4807.45,0
92,Male,0,1,1,68,1,0,DSL,Two year,0,Credit card (automatic),62.65,4375.8,0
93,Male,0,1,1,12,1,0,No,Month-to-month,1,Electronic check,21.15,306.05,0
94,Male,0,1,1,72,1,0,Fiber optic,Two year,0,Bank transfer (automatic),111.95,8033.1,0
95,Female,0,0,0,9,1,0,No,Month-to-month,0,Bank transfer (automatic),19.5,150.35,0
96,Male,0,1,1,66,1,1,DSL,Two year,0,Bank transfer (automatic),79.85,5234.95,0
97,Female,0,0,0,53,1,1,Fiber optic,One year,0,Mailed check,98.6,5311.85,0
98,Male,0,1,1,69,1,0,No,One year,1,Credit card (automatic),20.55,1403.1,0
99,Male,0,0,0,10,1,1,No,Month-to-month,1,Electronic check,24,226.55,0
100,Female,0,0,0,2,1,0,Fiber optic,Month-to-month,0,Bank transfer (automatic),70,153.05,1
101,Male,0,0,0,9,1,0,DSL,Month-to-month,1,Mailed check,69.5,653.25,0
102,Female,0,0,0,35,0,0,DSL,Month-to-month,0,Electronic check,24.15,812.5,0
103,Male,1,0,0,7,1,1,Fiber optic,Month-to-month,0,Mailed check,73.75,545.15,1
104,Male,0,1,1,24,1,1,No,Two year,0,Mailed check,24.2,609.05,0
105,Male,0,1,1,66,1,1,No,One year,1,Credit card (automatic),25.7,1714.55,0
106,Male,0,1,0,69,0,0,DSL,Two year,0,Bank transfer (automatic),60.25,4055.5,0
107,Male,1,1,0,7,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),94.7,673.1,1
108,Female,0,0,0,65,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),111.05,7107,0
109,Female,0,0,0,23,1,1,Fiber optic,Month-to-month,1,Electronic check,79.15,1676.95,1
110,Male,1,1,0,7,1,1,Fiber optic,Month-to-month,1,Mailed check,74.4,527.9,1
111,Male,0,0,0,15,1,0,Fiber optic,Month-to-month,1,Electronic check,101.35,1553.95,1
112,Female,1,0,0,55,1,1,Fiber optic,One year,1,Electronic check,100.15,5409.75,0
113,Female,0,1,1,72,1,1,Fiber optic,Two year,1,Bank transfer (automatic),110.45,8058.85,
114,Female,0,1,1,21,1,0,Fiber optic,Month-to-month,1,Electronic check,102.8,2110.15,
115,Male,0,0,0,39,1,1,Fiber optic,Month-to-month,0,Electronic check,75.25,3017.65,1
116,Male,0,0,0,34,1,0,DSL,Month-to-month,1,Electronic check,49.8,1734.2,0
117,Female,0,1,1,35,1,1,No,Two year,1,Credit card (automatic),25.4,949.8,0
118,Male,0,1,0,33,1,0,DSL,Two year,1,Mailed check,61.05,2018.4,0
119,Female,0,0,0,6,1,0,DSL,Month-to-month,1,Bank transfer (automatic),49.65,267.35,1
120,Female,0,1,0,11,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),96.2,1222.05,1
121,Male,0,1,1,46,1,0,DSL,Two year,0,Mailed check,81,3846.35,0
122,Male,0,0,0,20,1,0,Fiber optic,Month-to-month,0,Credit card (automatic),70.55,1493.55,0
123,Male,0,0,1,25,0,0,DSL,One year,1,Credit card (automatic),40.65,970.55,0
124,Female,0,0,0,1,1,0,No,Month-to-month,0,Electronic check,18.85,18.85,0
125,Female,0,0,0,18,1,0,Fiber optic,Month-to-month,0,Electronic check,77.8,1358.6,0
126,Male,0,1,0,56,1,1,DSL,Two year,0,Credit card (automatic),59.5,3389.25,0
127,Male,0,0,0,13,1,0,Fiber optic,Month-to-month,1,Electronic check,83.2,1060.6,1
128,Male,0,1,1,58,1,0,No,One year,1,Electronic check,19.55,1108.8,0
129,Female,0,0,0,5,1,0,Fiber optic,Month-to-month,0,Electronic check,80.2,384.25,0
130,Male,0,1,1,63,1,1,DSL,Two year,0,Mailed check,75.7,4676.7,0
131,Female,0,0,0,15,1,1,DSL,Month-to-month,0,Mailed check,48.85,631.4,0
132,Male,0,0,0,18,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),90.7,1597.25,1
133,Female,0,0,0,2,1,0,DSL,Month-to-month,0,Electronic check,45.55,84.4,0
134,Male,0,0,0,58,1,1,Fiber optic,One year,1,Bank transfer (automatic),103.25,6017.65,1
135,Male,0,0,0,12,1,0,No,Month-to-month,0,Mailed check,20.45,255.35,0
136,Female,0,1,1,35,1,0,No,One year,0,Mailed check,19.65,708.8,0
137,Male,1,1,0,33,1,0,Fiber optic,One year,1,Electronic check,93.55,3055.5,0
138,Female,1,1,0,48,1,0,DSL,One year,1,Bank transfer (automatic),58.95,2789.7,0
139,Female,0,0,0,26,1,1,DSL,Month-to-month,1,Bank transfer (automatic),69.5,1800.05,0
140,Male,0,1,1,67,1,0,Fiber optic,Two year,0,Bank transfer (automatic),103.15,6895.5,0
141,Female,0,0,0,4,1,0,No,Month-to-month,1,Credit card (automatic),20.15,68.45,0
142,Male,0,1,0,17,1,1,Fiber optic,Month-to-month,0,Credit card (automatic),90.2,1454.15,1
143,Male,0,1,1,63,0,0,DSL,Two year,0,Electronic check,59,3707.6,0
144,Male,0,1,0,63,1,1,DSL,Two year,0,Credit card (automatic),79.8,5034.05,0
145,Female,1,1,0,52,1,1,Fiber optic,One year,1,Electronic check,106.5,5621.85,0
146,Female,1,0,0,9,1,0,Fiber optic,Month-to-month,1,Electronic check,80.85,751.65,1
147,Female,0,0,1,12,1,1,Fiber optic,Month-to-month,1,Electronic check,78.3,909.25,1
148,Male,0,0,0,1,1,0,DSL,Month-to-month,0,Mailed check,44.45,44.45,0
149,Male,0,0,1,5,1,0,No,Month-to-month,0,Credit card (automatic),20.35,122,0
150,Female,0,0,0,1,0,0,DSL,Month-to-month,0,Electronic check,25.25,25.25,0
151,Male,1,1,0,27,1,0,Fiber optic,Month-to-month,1,Electronic check,70.55,1943.9,0
152,Male,1,0,0,15,1,1,Fiber optic,Month-to-month,0,Electronic check,75.65,1146.65,1
153,Male,0,0,1,48,1,1,DSL,One year,1,Credit card (automatic),78.75,3682.45,0
154,Male,0,0,0,1,1,0,No,Month-to-month,0,Mailed check,20.4,20.4,0
155,Female,0,0,0,3,0,0,DSL,Month-to-month,0,Credit card (automatic),35.2,108.95,1
156,Male,0,1,1,44,0,0,DSL,One year,1,Electronic check,54.3,2317.1,0
157,Male,0,1,0,30,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),94.05,2866.45,1
158,Female,1,1,0,26,1,0,Fiber optic,Month-to-month,1,Credit card (automatic),85.7,2067,0
159,Male,0,0,0,17,1,0,DSL,Month-to-month,0,Mailed check,51.5,900.5,1
160,Female,0,1,1,28,1,0,Fiber optic,One year,1,Bank transfer (automatic),90.1,2598.95,1
161,Female,0,0,1,16,1,0,No,One year,1,Bank transfer (automatic),19.3,360.35,0
162,Male,0,1,0,35,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),91.5,3236.35,0
163,Female,0,1,1,3,1,0,DSL,Month-to-month,1,Credit card (automatic),58.7,168.6,0
164,Female,0,1,1,71,1,1,Fiber optic,Two year,1,Credit card (automatic),95.75,6849.4,0
165,Male,0,0,0,44,1,1,Fiber optic,Month-to-month,1,Electronic check,111.5,4915.15,0
166,Female,1,0,0,1,1,0,Fiber optic,Month-to-month,1,Electronic check,70.2,70.2,0
167,Female,0,0,0,29,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),76,2215.25,0
168,Male,0,1,1,71,1,0,DSL,Two year,1,Credit card (automatic),70.85,4973.4,0
169,Male,1,0,0,35,1,1,Fiber optic,Month-to-month,0,Credit card (automatic),91,3180.5,0
170,Female,0,0,0,45,1,1,Fiber optic,Month-to-month,1,Electronic check,115.65,5125.5,0
171,Female,0,0,0,1,0,0,DSL,Month-to-month,0,Mailed check,24.4,24.4,0
172,Female,0,0,0,30,1,1,Fiber optic,Month-to-month,1,Electronic check,100.2,2983.8,1
173,Male,1,1,0,9,1,0,No,Month-to-month,1,Mailed check,21.25,204.55,0
174,Female,0,0,1,17,1,1,DSL,One year,1,Mailed check,55.85,937.5,1
175,Female,0,0,0,1,0,0,DSL,Month-to-month,1,Mailed check,25.1,25.1,1
176,Male,0,0,0,49,1,1,Fiber optic,Month-to-month,1,Bank transfer (automatic),74.6,3720.35,0
177,Female,0,1,0,69,1,1,No,Two year,0,Bank transfer (automatic),24.25,1641.8,0
178,Female,0,0,0,56,1,0,No,Two year,0,Bank transfer (automatic),19.7,1051.9,0
179,Male,1,1,0,54,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),99.05,5295.7,0
180,Male,0,0,0,22,1,1,Fiber optic,Month-to-month,1,Electronic check,100.65,2415.95,0
181,Male,0,0,0,5,1,0,DSL,Month-to-month,0,Electronic check,56.15,291.45,0
182,Female,1,0,0,28,1,1,Fiber optic,Month-to-month,1,Electronic check,106.15,3152.5,1
183,Female,1,0,0,21,0,0,DSL,Month-to-month,1,Electronic check,41.9,840.1,1
184,Male,1,0,0,1,1,0,DSL,Month-to-month,0,Electronic check,45.1,45.1,1
185,Male,0,0,0,6,1,0,DSL,Month-to-month,0,Electronic check,44.75,270.95,1
186,Female,0,1,0,40,1,0,No,Two year,0,Mailed check,19.1,780.1,0
187,Male,0,1,1,67,1,1,Fiber optic,One year,0,Electronic check,89.55,6038.55,0
188,Male,0,1,1,37,1,1,Fiber optic,Month-to-month,1,Electronic check,92.95,3415.25,0
189,Female,0,1,1,46,1,1,No,One year,0,Mailed check,24.95,1165.9,0
190,Female,0,1,0,71,1,1,DSL,Two year,1,Credit card (automatic),83.3,5894.5,0
191,Female,0,1,1,15,1,0,DSL,Month-to-month,0,Bank transfer (automatic),76.5,1155.6,0
192,Male,0,1,1,46,1,0,No,Two year,0,Credit card (automatic),19.75,856.5,0
193,Female,1,0,0,2,1,0,DSL,Month-to-month,0,Mailed check,54.85,104.2,1
194,Male,0,0,0,9,1,0,DSL,Month-to-month,0,Mailed check,64.95,547.8,0
195,Male,0,1,0,51,1,1,Fiber optic,One year,1,Credit card (automatic),96.4,4911.05,0
196,Male,0,0,0,66,1,0,No,Two year,0,Bank transfer (automatic),19.35,1240.8,0
197,Female,1,1,0,22,1,1,No,One year,0,Bank transfer (automatic),25.6,548.8,0
198,Male,0,0,1,28,1,0,DSL,One year,1,Credit card (automatic),54.4,1516.6,0
199,Male,0,1,0,40,1,1,Fiber optic,One year,1,Bank transfer (automatic),106,4178.65,0
200,Female,0,0,0,10,1,0,DSL,One year,0,Mailed check,64.9,685.55,0
201,Male,0,0,0,24,1,0,DSL,Month-to-month,1,Mailed check,49.7,1167.8,0
202,Male,0,1,1,19,1,0,Fiber optic,One year,0,Bank transfer (automatic),100,1888.65,1
203,Female,1,0,0,1,1,0,Fiber optic,Month-to-month,1,Electronic check,71.15,71.15,1
204,Male,1,0,0,2,1,0,DSL,Month-to-month,1,Electronic check,44.7,93.7,1
205,Male,0,0,1,3,1,0,DSL,Month-to-month,0,Mailed check,55.9,157.55,0
206,Male,0,0,0,10,1,0,Fiber optic,Month-to-month,1,Electronic check,70,740,1
207,Male,0,0,0,5,1,1,Fiber optic,Month-to-month,0,Electronic check,105.3,550.6,0
208,Male,0,0,0,6,1,0,DSL,Month-to-month,0,Mailed check,60.9,414.1,0
209,Male,0,1,1,71,1,1,DSL,Two year,0,Credit card (automatic),90.3,6287.3,0
210,Female,0,0,0,36,1,0,DSL,One year,1,Mailed check,76.35,2606.35,0
211,Female,0,1,1,14,1,1,Fiber optic,Month-to-month,1,Electronic check,84.8,1203.9,0
213,Male,0,0,0,6,1,0,DSL,Month-to-month,1,Bank transfer (automatic),59.15,336.7,0
214,Male,0,0,0,5,1,0,No,Month-to-month,0,Credit card (automatic),20.05,95.55,0
215,Male,0,1,1,43,1,1,DSL,One year,1,Credit card (automatic),71.9,3173.35,0
216,Male,1,1,0,20,1,0,Fiber optic,Month-to-month,1,Electronic check,73.65,1463.5,1
217,Male,0,0,0,5,1,0,DSL,Month-to-month,1,Credit card (automatic),63.95,318.1,0
218,Female,0,0,0,47,1,1,DSL,Two year,1,Mailed check,65,2879.9,0
219,Male,0,0,1,3,1,0,No,Month-to-month,1,Mailed check,20.05,75.45,0
220,Male,0,0,0,9,1,0,DSL,Month-to-month,0,Mailed check,44.95,431,1
221,Male,0,1,0,22,1,0,DSL,One year,1,Credit card (automatic),56.25,1292.2,0
222,Male,0,1,0,70,1,1,DSL,One year,0,Bank transfer (automatic),79.4,5528.9,0
223,Female,1,1,0,53,1,0,Fiber optic,One year,1,Electronic check,94,4871.45,0
224,Male,0,1,1,71,1,1,Fiber optic,Two year,1,Electronic check,84.8,6152.4,0
225,Male,0,0,0,65,1,1,No,Two year,1,Bank transfer (automatic),25.1,1725,0
226,Male,1,1,0,65,1,1,Fiber optic,One year,1,Electronic check,100.75,6674.65,0
227,Female,0,0,0,54,0,0,DSL,One year,0,Bank transfer (automatic),44.1,2369.7,0
228,Female,0,1,1,72,0,0,DSL,Two year,0,Credit card (automatic),55.65,3880.05,0
229,Male,0,1,1,72,1,0,DSL,Two year,1,Bank transfer (automatic),75.4,5480.25,0
230,Female,0,0,0,52,1,0,No,One year,0,Mailed check,20.65,1022.95,0
231,Male,0,1,1,68,1,1,DSL,Two year,0,Credit card (automatic),70.8,4859.95,0
232,Female,0,0,0,8,1,1,Fiber optic,Month-to-month,0,Bank transfer (automatic),95.65,778.1,1
233,Male,0,0,0,43,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),75.35,3161.4,0
234,Male,0,1,1,72,1,1,DSL,Two year,0,Bank transfer (automatic),82.3,5815.15,0
235,Female,0,0,0,11,1,0,DSL,Month-to-month,1,Mailed check,44.65,472.25,0
236,Male,0,0,0,24,1,1,Fiber optic,Month-to-month,1,Bank transfer (automatic),99.65,2404.85,0
237,Male,0,1,1,7,1,0,DSL,Month-to-month,1,Credit card (automatic),71.35,515.75,0
238,Male,0,0,0,2,1,0,DSL,Month-to-month,1,Mailed check,45,96.45,1
239,Female,0,1,0,42,1,1,Fiber optic,Month-to-month,1,Electronic check,84.3,3588.4,1
240,Male,0,0,0,2,1,0,Fiber optic,Month-to-month,1,Electronic check,74.75,144.8,0
241,Female,1,0,0,56,1,1,Fiber optic,Month-to-month,1,Electronic check,96.85,5219.65,0
242,Female,1,1,0,72,1,1,Fiber optic,One year,1,Bank transfer (automatic),106.85,7677.4,0
243,Male,0,0,0,44,1,0,Fiber optic,One year,1,Electronic check,106.05,4510.8,0
244,Female,1,1,0,1,1,1,Fiber optic,Month-to-month,1,Electronic check,100.8,100.8,1
245,Female,0,0,0,1,1,0,DSL,Month-to-month,1,Mailed check,54.75,54.75,1
246,Male,0,0,0,5,1,1,Fiber optic,Month-to-month,1,Electronic check,92.5,452.7,1
247,Female,0,0,0,41,1,1,No,One year,1,Mailed check,24.85,962.25,0
248,Male,0,0,0,1,1,0,DSL,Month-to-month,1,Electronic check,55.25,55.25,0
249,Female,0,1,0,45,1,0,Fiber optic,Two year,1,Credit card (automatic),95.2,4285.8,0
250,Male,0,1,1,43,1,1,Fiber optic,One year,1,Credit card (automatic),104.3,4451.85,0
251,Female,0,0,1,8,1,0,No,Month-to-month,0,Mailed check,20.05,163.6,0
252,Female,0,0,0,1,1,1,DSL,Month-to-month,1,Bank transfer (automatic),49.95,49.95,1
253,Female,0,1,0,19,1,0,DSL,Month-to-month,0,Mailed check,44.9,839.65,0
254,Male,0,0,0,35,1,0,Fiber optic,One year,1,Bank transfer (automatic),102.35,3626.1,1
255,Male,0,0,0,15,1,0,No,One year,0,Mailed check,19.8,304.6,0
256,Female,0,0,0,1,1,0,DSL,Month-to-month,1,Electronic check,45.3,45.3,1
257,Male,0,0,0,35,1,1,DSL,Two year,0,Mailed check,55.25,1924.1,0
258,Female,1,0,0,10,0,0,DSL,Month-to-month,1,Electronic check,34.7,329.8,1
259,Male,0,1,1,40,1,1,Fiber optic,Month-to-month,1,Electronic check,81.2,3292.3,0
260,Male,0,0,0,37,1,1,DSL,One year,0,Electronic check,67.45,2443.3,0
261,Female,0,1,1,7,1,0,DSL,Month-to-month,1,Electronic check,75.7,554.05,0
262,Female,0,0,0,24,1,1,Fiber optic,Month-to-month,1,Electronic check,104.15,2494.65,0
263,Male,0,0,0,12,1,1,Fiber optic,Month-to-month,1,Electronic check,89.55,1021.75,0
264,Female,1,1,0,26,1,0,Fiber optic,Month-to-month,0,Electronic check,84.95,2169.75,1
265,Male,1,1,0,5,1,1,Fiber optic,Month-to-month,1,Bank transfer (automatic),79.9,343.95,1
266,Male,0,1,1,17,1,1,DSL,Month-to-month,1,Mailed check,66.7,1077.05,0
267,Female,0,1,1,72,0,0,DSL,Two year,0,Bank transfer (automatic),65.7,4575.35,0
268,Female,0,1,1,1,1,0,Fiber optic,Month-to-month,1,Electronic check,69.8,69.8,1
269,Female,0,0,0,4,1,1,No,Two year,1,Credit card (automatic),25.3,116.95,0
270,Male,1,1,0,32,1,1,Fiber optic,Month-to-month,1,Electronic check,104.9,3351.55,1
271,Female,0,0,0,30,1,0,Fiber optic,One year,1,Bank transfer (automatic),94.4,2638.1,0
272,Female,0,1,1,11,0,0,DSL,Month-to-month,1,Electronic check,29.6,346.45,0
273,Female,0,1,1,69,1,1,Fiber optic,One year,0,Bank transfer (automatic),84.45,5848.6,0
274,Female,0,0,0,13,1,0,No,One year,0,Mailed check,20.2,273.25,0
275,Female,1,1,0,50,1,1,Fiber optic,Month-to-month,1,Electronic check,95.05,4888.7,1
276,Male,0,0,1,62,1,1,No,Two year,1,Mailed check,24.4,1413,0
277,Female,0,1,1,18,1,1,No,Two year,0,Mailed check,25.1,428.45,0
278,Male,0,0,0,21,1,1,Fiber optic,Month-to-month,0,Mailed check,103.85,2215,0
279,Female,0,0,0,3,1,1,DSL,Month-to-month,1,Mailed check,50.65,151.3,1
280,Male,0,0,0,18,0,0,DSL,Month-to-month,1,Credit card (automatic),33.5,600,1
281,Male,0,0,0,69,1,1,Fiber optic,Two year,1,Credit card (automatic),110.05,7430.75,0
282,Female,0,0,0,1,1,0,Fiber optic,Month-to-month,0,Electronic check,70.5,70.5,1
283,Male,1,1,0,32,1,1,Fiber optic,Month-to-month,1,Electronic check,74.9,2303.35,1
284,Female,0,0,0,3,1,0,DSL,Month-to-month,1,Electronic check,54.2,140.4,0
285,Female,0,0,0,1,1,0,Fiber optic,Month-to-month,1,Mailed check,70.8,70.8,1
286,Female,0,1,1,71,1,0,DSL,Two year,0,Credit card (automatic),64.05,4492.9,0
287,Female,0,0,0,10,1,0,DSL,Month-to-month,1,Mailed check,60.95,629.55,0
288,Male,0,0,1,25,1,0,Fiber optic,Month-to-month,1,Electronic check,95.9,2448.75,1
289,Male,0,0,1,4,1,0,DSL,Month-to-month,1,Electronic check,49.4,184.4,1
290,Female,0,1,1,23,1,1,No,Two year,1,Credit card (automatic),25.6,514.75,0
291,Female,0,0,0,8,0,0,DSL,Month-to-month,1,Mailed check,29.25,226.95,0
